year,stateabbr,statedesc,locationname,measure,data_value
2023,AL,Alabama,Bullock,Arthritis among adults,35.3
2022,AL,Alabama,Bullock,All teeth lost among adults aged >=65 years,35.3
2022,AL,Alabama,Bullock,All teeth lost among adults aged >=65 years,35.3
2023,AL,Alabama,Bullock,Arthritis among adults,35.3
2023,AL,Alabama,Butler,Arthritis among adults,35.2
2023,AL,Alabama,Baldwin,Obesity among adults,35.2
2023,AL,Alabama,Baldwin,Obesity among adults,35.2
2023,AL,Alabama,Butler,Arthritis among adults,35.2
2022,AL,Alabama,Bullock,All teeth lost among adults aged >=65 years,35.1
2023,AL,Alabama,Butler,No leisure-time physical activity among adults,35.1
2023,AL,Alabama,Butler,No leisure-time physical activity among adults,35.1
2022,AL,Alabama,Bullock,All teeth lost among adults aged >=65 years,35.1
2023,AL,Alabama,Baldwin,Obesity among adults,35.0
2023,AL,Alabama,Baldwin,Obesity among adults,35.0
2022,AL,Alabama,Baldwin,Short sleep duration among adults,34.8
2022,AL,Alabama,Baldwin,Short sleep duration among adults,34.8
2023,AL,Alabama,Chambers,High cholesterol among adults who have ever been screened,34.8
2023,AL,Alabama,Chambers,High cholesterol among adults who have ever been screened,34.8
2023,AL,Alabama,Barbour,No leisure-time physical activity among adults,34.5
2023,AL,Alabama,Barbour,No leisure-time physical activity among adults,34.5
2023,AL,Alabama,Bullock,Lack of social and emotional support among adults,34.4
2023,US,United States,nan,High blood pressure among adults,34.4
2023,AL,Alabama,Blount,Loneliness among adults,34.4
2023,US,United States,nan,High blood pressure among adults,34.4
2023,US,United States,nan,High blood pressure among adults,34.4
2023,US,United States,,High blood pressure among adults,34.4
2023,AL,Alabama,Blount,Loneliness among adults,34.4
2023,AL,Alabama,Bullock,Lack of social and emotional support among adults,34.4
2023,AL,Alabama,Chambers,No leisure-time physical activity among adults,34.3
2023,AL,Alabama,Chambers,No leisure-time physical activity among adults,34.3
2023,AL,Alabama,Chambers,Arthritis among adults,34.2
2023,AL,Alabama,Barbour,Arthritis among adults,34.2
2023,AL,Alabama,Chambers,Arthritis among adults,34.2
2023,AL,Alabama,Barbour,Arthritis among adults,34.2
2022,AL,Alabama,Chilton,Short sleep duration among adults,34.1
2022,AL,Alabama,Chilton,Short sleep duration among adults,34.1
2023,AL,Alabama,Baldwin,Any disability among adults,33.9
2023,AL,Alabama,Baldwin,Any disability among adults,33.9
2023,AL,Alabama,Autauga,Any disability among adults,33.8
2023,AL,Alabama,Autauga,Any disability among adults,33.8
2023,AL,Alabama,Autauga,Loneliness among adults,33.7
2023,AL,Alabama,Autauga,Loneliness among adults,33.7
2023,AL,Alabama,Bullock,Lack of social and emotional support among adults,33.6
2022,AL,Alabama,Chilton,Short sleep duration among adults,33.6
2022,AL,Alabama,Chilton,Short sleep duration among adults,33.6
2023,AL,Alabama,Bullock,Lack of social and emotional support among adults,33.6
2023,AL,Alabama,Baldwin,Loneliness among adults,33.3
2023,AL,Alabama,Bibb,No leisure-time physical activity among adults,33.3
2023,AL,Alabama,Cherokee,Loneliness among adults,33.3
2023,AL,Alabama,Bibb,No leisure-time physical activity among adults,33.3
2023,AL,Alabama,Cherokee,Loneliness among adults,33.3
2023,AL,Alabama,Baldwin,Loneliness among adults,33.3
2023,US,United States,nan,Loneliness among adults,33.2
2023,US,United States,nan,Loneliness among adults,33.2
2023,US,United States,nan,Loneliness among adults,33.2
2023,US,United States,nan,Obesity among adults,32.9
2023,US,United States,nan,Obesity among adults,32.9
2023,AL,Alabama,Baldwin,Arthritis among adults,32.9
2023,US,United States,nan,Obesity among adults,32.9
2023,AL,Alabama,Baldwin,Arthritis among adults,32.9
2023,US,United States,nan,Obesity among adults,32.8
2023,US,United States,nan,Obesity among adults,32.8
2023,US,United States,nan,Obesity among adults,32.8
2023,AL,Alabama,Autauga,Loneliness among adults,32.6
2023,AL,Alabama,Autauga,Loneliness among adults,32.6
2023,AL,Alabama,Chambers,No leisure-time physical activity among adults,32.5
2023,AL,Alabama,Chambers,No leisure-time physical activity among adults,32.5
2023,AL,Alabama,Autauga,Any disability among adults,32.4
2023,AL,Alabama,Autauga,Any disability among adults,32.4
2023,AL,Alabama,Bibb,Arthritis among adults,32.3
2023,AL,Alabama,Bibb,Arthritis among adults,32.3
2023,US,United States,nan,High cholesterol among adults who have ever been screened,32.2
2023,US,United States,nan,High cholesterol among adults who have ever been screened,32.2
2023,US,United States,nan,High cholesterol among adults who have ever been screened,32.2
2023,AL,Alabama,Barbour,Food insecurity in the past 12 months among adults,32.1
2023,AL,Alabama,Barbour,Food insecurity in the past 12 months among adults,32.1
2023,US,United States,nan,Loneliness among adults,32.0
2023,US,United States,nan,Loneliness among adults,32.0
2023,US,United States,nan,Loneliness among adults,32.0
2023,AL,Alabama,Calhoun,No leisure-time physical activity among adults,31.9
2023,AL,Alabama,Bibb,No leisure-time physical activity among adults,31.9
2023,AL,Alabama,Calhoun,No leisure-time physical activity among adults,31.9
2023,AL,Alabama,Bibb,No leisure-time physical activity among adults,31.9
2023,AL,Alabama,Blount,Arthritis among adults,31.8
2023,AL,Alabama,Blount,Arthritis among adults,31.8
2023,AL,Alabama,Barbour,Lack of social and emotional support among adults,31.7
2023,AL,Alabama,Barbour,Lack of social and emotional support among adults,31.7
2023,AL,Alabama,Calhoun,Arthritis among adults,31.6
2023,AL,Alabama,Calhoun,Arthritis among adults,31.6
2023,AL,Alabama,Cherokee,No leisure-time physical activity among adults,31.4
2023,AL,Alabama,Baldwin,Loneliness among adults,31.4
2023,AL,Alabama,Chilton,Arthritis among adults,31.4
2023,AL,Alabama,Barbour,Fair or poor self-rated health status among adults,31.4
2023,AL,Alabama,Baldwin,Any disability among adults,31.4
2023,AL,Alabama,Barbour,Fair or poor self-rated health status among adults,31.4
2023,AL,Alabama,Baldwin,Loneliness among adults,31.4
2023,AL,Alabama,Baldwin,Any disability among adults,31.4
2023,AL,Alabama,Chilton,Arthritis among adults,31.4
2023,AL,Alabama,Cherokee,No leisure-time physical activity among adults,31.4
2023,AL,Alabama,Bullock,Housing insecurity in the past 12 months among adults,31.2
2023,AL,Alabama,Bullock,Housing insecurity in the past 12 months among adults,31.2
2023,AL,Alabama,Chilton,No leisure-time physical activity among adults,31.1
2023,AL,Alabama,Chilton,No leisure-time physical activity among adults,31.1
2023,AL,Alabama,Calhoun,No leisure-time physical activity among adults,31.0
2023,AL,Alabama,Calhoun,No leisure-time physical activity among adults,31.0
2023,US,United States,nan,High blood pressure among adults,30.7
2023,US,United States,nan,High blood pressure among adults,30.7
2023,US,United States,,High blood pressure among adults,30.7
2023,US,United States,nan,High blood pressure among adults,30.7
2023,AL,Alabama,Barbour,Lack of social and emotional support among adults,30.6
2023,AL,Alabama,Barbour,Lack of social and emotional support among adults,30.6
2023,AL,Alabama,Bullock,Arthritis among adults,30.6
2023,AL,Alabama,Bullock,Arthritis among adults,30.6
2023,AL,Alabama,Barbour,Food insecurity in the past 12 months among adults,30.5
2023,AL,Alabama,Barbour,Food insecurity in the past 12 months among adults,30.5
2023,AL,Alabama,Autauga,Arthritis among adults,30.0
2023,AL,Alabama,Chilton,No leisure-time physical activity among adults,30.0
2023,AL,Alabama,Autauga,Arthritis among adults,30.0
2023,AL,Alabama,Autauga,Arthritis among adults,30.0
2023,US,United States,nan,Any disability among adults,30.0
2023,AL,Alabama,Chilton,No leisure-time physical activity among adults,30.0
2023,US,United States,nan,Any disability among adults,30.0
2023,US,United States,nan,Any disability among adults,30.0
